start,end,start_lat,start_long,end_lat,end_long,cost
E8,S6,-6.9267,-75.2371,69.8863,-27.0051,0.83
E9,S6,-6.9267,-75.2371,66.0731,-40.7161,0.11
E10,S6,-6.9267,-75.2371,69.7711,22.6141,0.65
E11,S6,-6.9267,-75.2371,64.3111,-17.1125,0.3
M1,S6,-6.9267,-75.2371,29.9007,25.0417,0.74
M2,S6,-6.9267,-75.2371,20.0666,35.6046,0.79
M3,S6,-6.9267,-75.2371,17.4034,45.7999,0.33
M4,S6,-6.9267,-75.2371,-2.0396,38.0496,0.79
M5,S6,-6.9267,-75.2371,-21.8787,33.8308,0.31
M6,S6,-6.9267,-75.2371,-32.6365,23.2839,0.13
M7,S6,-6.9267,-75.2371,2.0002,13.0886,0.72
M8,S6,-6.9267,-75.2371,10.2101,-7.1261,0.12
M9,S6,-6.9267,-75.2371,21.0261,-8.708,0.22
M10,S6,-6.9267,-75.2371,30.8108,-4.4894,0.15
M11,S6,-6.9267,-75.2371,-10.6827,14.1675,0.44
M12,S6,-6.9267,-75.2371,-11.5451,40.3679,0.09
M13,S6,-6.9267,-75.2371,9.7734,49.8601,0.11
K1,S6,-6.9267,-75.2371,23.8158,53.8859,0.95
K2,S6,-6.9267,-75.2371,-19.8441,46.3005,0.97
K3,S6,-6.9267,-75.2371,26.7254,36.3249,0.66
K4,S6,-6.9267,-75.2371,25.4625,63.0436,0.63
K5,S6,-6.9267,-75.2371,30.4292,48.9811,0.82
A1,S6,-6.9267,-75.2371,44.7861,142.4796,0.45
A2,S6,-6.9267,-75.2371,41.8452,129.8234,0.88
A3,S6,-6.9267,-75.2371,38.3505,117.5187,0.63
A4,S6,-6.9267,-75.2371,26.3621,103.8708,0.8
A5,S6,-6.9267,-75.2371,20.2081,103.6321,0.54
A6,S6,-6.9267,-75.2371,12.3081,80.0773,0.42
A7,S6,-6.9267,-75.2371,19.2389,73.3796,0.02
A8,S6,-6.9267,-75.2371,50.8332,140.3611,0.63
A9,S6,-6.9267,-75.2371,16.4459,95.0096,0.71
A10,S6,-6.9267,-75.2371,21.7588,88.1451,0.19
A11,S6,-6.9267,-75.2371,15.2623,120.4979,0.19
A12,S6,-6.9267,-75.2371,6.8166,125.2493,0.54
A13,S6,-6.9267,-75.2371,-4.4128,144.0525,0.02
A14,S6,-6.9267,-75.2371,31.1841,130.6932,0.15
Z1,S6,-6.9267,-75.2371,-21.5409,147.7123,0.85
Z2,S6,-6.9267,-75.2371,-29.5135,152.1351,0.33
Z3,S6,-6.9267,-75.2371,-37.0957,142.2138,0.55
Z4,S6,-6.9267,-75.2371,-45.0244,168.6218,0.05
Z5,S6,-6.9267,-75.2371,-31.9787,117.1119,0.79
Z6,S6,-6.9267,-75.2371,-22.1268,115.4265,0.18
Z7,S6,-6.9267,-75.2371,-12.7481,133.5319,0.36
N1,S7,7.6532,-76.2382,38.9603,-67.7183,0.2
N2,S7,7.6532,-76.2382,33.6701,-79.1441,0.78
N3,S7,7.6532,-76.2382,21.3022,-90.1044,0.66
N4,S7,7.6532,-76.2382,31.8968,-103.4019,0.69
N5,S7,7.6532,-76.2382,53.2547,-124.4917,0.49
N6,S7,7.6532,-76.2382,54.6989,-129.2372,0.37
N7,S7,7.6532,-76.2382,62.1652,-153.9344,0.93
N8,S7,7.6532,-76.2382,24.2271,-157.2241,0.39
N9,S7,7.6532,-76.2382,22.5729,-105.1789,0.02
N10,S7,7.6532,-76.2382,59.0741,136.9953,0.9
S1,S7,7.6532,-76.2382,8.9915,-67.2331,0.24
S2,S7,7.6532,-76.2382,-5.1621,-42.1811,0.98
S3,S7,7.6532,-76.2382,-21.3756,-49.9622,0.63
S4,S7,7.6532,-76.2382,-43.7592,-65.5599,0.41
S5,S7,7.6532,-76.2382,-35.8045,-71.5364,0.84
S6,S7,7.6532,-76.2382,-6.9267,-75.2371,0.17
S8,S7,7.6532,-76.2382,-32.5658,-52.7961,0.79
E1,S7,7.6532,-76.2382,47.4901,14.1276,0.4
E2,S7,7.6532,-76.2382,54.9682,27.7502,0.99
E3,S7,7.6532,-76.2382,58.8052,15.9729,0.81
E4,S7,7.6532,-76.2382,50.0536,2.4377,0.18
E5,S7,7.6532,-76.2382,39.2195,-3.3631,0.84
E6,S7,7.6532,-76.2382,35.9945,9.5282,0.35
E7,S7,7.6532,-76.2382,44.9363,26.0808,0.43
E8,S7,7.6532,-76.2382,69.8863,-27.0051,0.19
E9,S7,7.6532,-76.2382,66.0731,-40.7161,0.86
E10,S7,7.6532,-76.2382,69.7711,22.6141,0.68
E11,S7,7.6532,-76.2382,64.3111,-17.1125,0.71
M1,S7,7.6532,-76.2382,29.9007,25.0417,0.22
M2,S7,7.6532,-76.2382,20.0666,35.6046,0.91
M3,S7,7.6532,-76.2382,17.4034,45.7999,0.01
M4,S7,7.6532,-76.2382,-2.0396,38.0496,0.06
M5,S7,7.6532,-76.2382,-21.8787,33.8308,0.52
M6,S7,7.6532,-76.2382,-32.6365,23.2839,0.83
M7,S7,7.6532,-76.2382,2.0002,13.0886,0.84
M8,S7,7.6532,-76.2382,10.2101,-7.1261,0.91
M9,S7,7.6532,-76.2382,21.0261,-8.708,0.4
M10,S7,7.6532,-76.2382,30.8108,-4.4894,0.4
M11,S7,7.6532,-76.2382,-10.6827,14.1675,0.52
M12,S7,7.6532,-76.2382,-11.5451,40.3679,0.38
M13,S7,7.6532,-76.2382,9.7734,49.8601,0.65
K1,S7,7.6532,-76.2382,23.8158,53.8859,0.97
K2,S7,7.6532,-76.2382,-19.8441,46.3005,0.38
K3,S7,7.6532,-76.2382,26.7254,36.3249,0
K4,S7,7.6532,-76.2382,25.4625,63.0436,0.21
K5,S7,7.6532,-76.2382,30.4292,48.9811,0.37
A1,S7,7.6532,-76.2382,44.7861,142.4796,0.9
A2,S7,7.6532,-76.2382,41.8452,129.8234,0.53
A3,S7,7.6532,-76.2382,38.3505,117.5187,0.57
A4,S7,7.6532,-76.2382,26.3621,103.8708,0.16
A5,S7,7.6532,-76.2382,20.2081,103.6321,0.16
A6,S7,7.6532,-76.2382,12.3081,80.0773,0.13
A7,S7,7.6532,-76.2382,19.2389,73.3796,0.7
A8,S7,7.6532,-76.2382,50.8332,140.3611,0.3
A9,S7,7.6532,-76.2382,16.4459,95.0096,0.38
A10,S7,7.6532,-76.2382,21.7588,88.1451,0.4
A11,S7,7.6532,-76.2382,15.2623,120.4979,0.49
A12,S7,7.6532,-76.2382,6.8166,125.2493,0.5
A13,S7,7.6532,-76.2382,-4.4128,144.0525,0.39
A14,S7,7.6532,-76.2382,31.1841,130.6932,0.43
Z1,S7,7.6532,-76.2382,-21.5409,147.7123,0.86
Z2,S7,7.6532,-76.2382,-29.5135,152.1351,0.7
Z3,S7,7.6532,-76.2382,-37.0957,142.2138,0.37
Z4,S7,7.6532,-76.2382,-45.0244,168.6218,0.64
Z5,S7,7.6532,-76.2382,-31.9787,117.1119,0.04
Z6,S7,7.6532,-76.2382,-22.1268,115.4265,0.21
Z7,S7,7.6532,-76.2382,-12.7481,133.5319,0.3
N1,S8,-32.5658,-52.7961,38.9603,-67.7183,0.84
N2,S8,-32.5658,-52.7961,33.6701,-79.1441,0.13
N3,S8,-32.5658,-52.7961,21.3022,-90.1044,0.2
N4,S8,-32.5658,-52.7961,31.8968,-103.4019,0.94
N5,S8,-32.5658,-52.7961,53.2547,-124.4917,0.45
N6,S8,-32.5658,-52.7961,54.6989,-129.2372,0.49
N7,S8,-32.5658,-52.7961,62.1652,-153.9344,0.44
N8,S8,-32.5658,-52.7961,24.2271,-157.2241,0.57
N9,S8,-32.5658,-52.7961,22.5729,-105.1789,0.53
N10,S8,-32.5658,-52.7961,59.0741,136.9953,0.21
S1,S8,-32.5658,-52.7961,8.9915,-67.2331,0.25
S2,S8,-32.5658,-52.7961,-5.1621,-42.1811,0.86
S3,S8,-32.5658,-52.7961,-21.3756,-49.9622,0.81
S4,S8,-32.5658,-52.7961,-43.7592,-65.5599,0.81
S5,S8,-32.5658,-52.7961,-35.8045,-71.5364,0.9
S6,S8,-32.5658,-52.7961,-6.9267,-75.2371,0.04
S7,S8,-32.5658,-52.7961,7.6532,-76.2382,0.23
E1,S8,-32.5658,-52.7961,47.4901,14.1276,0.29
E2,S8,-32.5658,-52.7961,54.9682,27.7502,0.15
E3,S8,-32.5658,-52.7961,58.8052,15.9729,0.07
E4,S8,-32.5658,-52.7961,50.0536,2.4377,0.3
E5,S8,-32.5658,-52.7961,39.2195,-3.3631,0.91
E6,S8,-32.5658,-52.7961,35.9945,9.5282,0.1
E7,S8,-32.5658,-52.7961,44.9363,26.0808,0.63
E8,S8,-32.5658,-52.7961,69.8863,-27.0051,0.63
E9,S8,-32.5658,-52.7961,66.0731,-40.7161,0.59
E10,S8,-32.5658,-52.7961,69.7711,22.6141,0.21
E11,S8,-32.5658,-52.7961,64.3111,-17.1125,0.04
M1,S8,-32.5658,-52.7961,29.9007,25.0417,0.33
M2,S8,-32.5658,-52.7961,20.0666,35.6046,0.01
M3,S8,-32.5658,-52.7961,17.4034,45.7999,0.54
M4,S8,-32.5658,-52.7961,-2.0396,38.0496,0.33
M5,S8,-32.5658,-52.7961,-21.8787,33.8308,0.1
M6,S8,-32.5658,-52.7961,-32.6365,23.2839,0.55
M7,S8,-32.5658,-52.7961,2.0002,13.0886,0.32
M8,S8,-32.5658,-52.7961,10.2101,-7.1261,0.17
M9,S8,-32.5658,-52.7961,21.0261,-8.708,0.86
M10,S8,-32.5658,-52.7961,30.8108,-4.4894,0.61
M11,S8,-32.5658,-52.7961,-10.6827,14.1675,0.69
M12,S8,-32.5658,-52.7961,-11.5451,40.3679,0.39
M13,S8,-32.5658,-52.7961,9.7734,49.8601,0.49
K1,S8,-32.5658,-52.7961,23.8158,53.8859,0.16
K2,S8,-32.5658,-52.7961,-19.8441,46.3005,0.48
K3,S8,-32.5658,-52.7961,26.7254,36.3249,0.32
K4,S8,-32.5658,-52.7961,25.4625,63.0436,0.05
K5,S8,-32.5658,-52.7961,30.4292,48.9811,0.72
A1,S8,-32.5658,-52.7961,44.7861,142.4796,0.85
A2,S8,-32.5658,-52.7961,41.8452,129.8234,0.26
A3,S8,-32.5658,-52.7961,38.3505,117.5187,0.19
A4,S8,-32.5658,-52.7961,26.3621,103.8708,0.57
A5,S8,-32.5658,-52.7961,20.2081,103.6321,0.54
A6,S8,-32.5658,-52.7961,12.3081,80.0773,0.73
A7,S8,-32.5658,-52.7961,19.2389,73.3796,0.34
A8,S8,-32.5658,-52.7961,50.8332,140.3611,0.67
A9,S8,-32.5658,-52.7961,16.4459,95.0096,0.36
A10,S8,-32.5658,-52.7961,21.7588,88.1451,0.23
A11,S8,-32.5658,-52.7961,15.2623,120.4979,0.15
A12,S8,-32.5658,-52.7961,6.8166,125.2493,0.97
A13,S8,-32.5658,-52.7961,-4.4128,144.0525,0.84
A14,S8,-32.5658,-52.7961,31.1841,130.6932,0.22
Z1,S8,-32.5658,-52.7961,-21.5409,147.7123,0.95
Z2,S8,-32.5658,-52.7961,-29.5135,152.1351,0.82
Z3,S8,-32.5658,-52.7961,-37.0957,142.2138,0.36
Z4,S8,-32.5658,-52.7961,-45.0244,168.6218,0.06
Z5,S8,-32.5658,-52.7961,-31.9787,117.1119,0.44
Z6,S8,-32.5658,-52.7961,-22.1268,115.4265,0.73
Z7,S8,-32.5658,-52.7961,-12.7481,133.5319,0.98
N1,E1,47.4901,14.1276,38.9603,-67.7183,0.44
N2,E1,47.4901,14.1276,33.6701,-79.1441,0.02
N3,E1,47.4901,14.1276,21.3022,-90.1044,0.18
N4,E1,47.4901,14.1276,31.8968,-103.4019,0.25
N5,E1,47.4901,14.1276,53.2547,-124.4917,0.91
N6,E1,47.4901,14.1276,54.6989,-129.2372,0.17
N7,E1,47.4901,14.1276,62.1652,-153.9344,0.9
N8,E1,47.4901,14.1276,24.2271,-157.2241,0.29
N9,E1,47.4901,14.1276,22.5729,-105.1789,0.48
N10,E1,47.4901,14.1276,59.0741,136.9953,0.19
S1,E1,47.4901,14.1276,8.9915,-67.2331,0.86
S2,E1,47.4901,14.1276,-5.1621,-42.1811,0.11
S3,E1,47.4901,14.1276,-21.3756,-49.9622,0.96
S4,E1,47.4901,14.1276,-43.7592,-65.5599,0.47
S5,E1,47.4901,14.1276,-35.8045,-71.5364,0.07
S6,E1,47.4901,14.1276,-6.9267,-75.2371,0.68
S7,E1,47.4901,14.1276,7.6532,-76.2382,0.93
S8,E1,47.4901,14.1276,-32.5658,-52.7961,0.02
E2,E1,47.4901,14.1276,54.9682,27.7502,0.02
E3,E1,47.4901,14.1276,58.8052,15.9729,0.41
E4,E1,47.4901,14.1276,50.0536,2.4377,0.14
E5,E1,47.4901,14.1276,39.2195,-3.3631,0.41
E6,E1,47.4901,14.1276,35.9945,9.5282,0.02
E7,E1,47.4901,14.1276,44.9363,26.0808,0.76
E8,E1,47.4901,14.1276,69.8863,-27.0051,0.3
E9,E1,47.4901,14.1276,66.0731,-40.7161,0.27
E10,E1,47.4901,14.1276,69.7711,22.6141,0.49
E11,E1,47.4901,14.1276,64.3111,-17.1125,0.85
M1,E1,47.4901,14.1276,29.9007,25.0417,0.78
M2,E1,47.4901,14.1276,20.0666,35.6046,0.39
M3,E1,47.4901,14.1276,17.4034,45.7999,0.01
M4,E1,47.4901,14.1276,-2.0396,38.0496,0.42
M5,E1,47.4901,14.1276,-21.8787,33.8308,0.54
M6,E1,47.4901,14.1276,-32.6365,23.2839,0.11
M7,E1,47.4901,14.1276,2.0002,13.0886,0.21
M8,E1,47.4901,14.1276,10.2101,-7.1261,0.72
M9,E1,47.4901,14.1276,21.0261,-8.708,0.9
M10,E1,47.4901,14.1276,30.8108,-4.4894,0.62
M11,E1,47.4901,14.1276,-10.6827,14.1675,0.95
M12,E1,47.4901,14.1276,-11.5451,40.3679,0.76
M13,E1,47.4901,14.1276,9.7734,49.8601,0.62
K1,E1,47.4901,14.1276,23.8158,53.8859,0.91
K2,E1,47.4901,14.1276,-19.8441,46.3005,0.75
K3,E1,47.4901,14.1276,26.7254,36.3249,0.7
K4,E1,47.4901,14.1276,25.4625,63.0436,0.7
K5,E1,47.4901,14.1276,30.4292,48.9811,0.17
A1,E1,47.4901,14.1276,44.7861,142.4796,0.28
A2,E1,47.4901,14.1276,41.8452,129.8234,0.21
A3,E1,47.4901,14.1276,38.3505,117.5187,0.33
A4,E1,47.4901,14.1276,26.3621,103.8708,0.14
A5,E1,47.4901,14.1276,20.2081,103.6321,0.02
A6,E1,47.4901,14.1276,12.3081,80.0773,0.63
A7,E1,47.4901,14.1276,19.2389,73.3796,0.23
A8,E1,47.4901,14.1276,50.8332,140.3611,0.3
A9,E1,47.4901,14.1276,16.4459,95.0096,0.42
A10,E1,47.4901,14.1276,21.7588,88.1451,0.62
A11,E1,47.4901,14.1276,15.2623,120.4979,0.89
A12,E1,47.4901,14.1276,6.8166,125.2493,0.12
A13,E1,47.4901,14.1276,-4.4128,144.0525,0.46
A14,E1,47.4901,14.1276,31.1841,130.6932,0.63
Z1,E1,47.4901,14.1276,-21.5409,147.7123,0.55
Z2,E1,47.4901,14.1276,-29.5135,152.1351,0.55
Z3,E1,47.4901,14.1276,-37.0957,142.2138,0.1
Z4,E1,47.4901,14.1276,-45.0244,168.6218,0.68
Z5,E1,47.4901,14.1276,-31.9787,117.1119,0.64
Z6,E1,47.4901,14.1276,-22.1268,115.4265,0.59
Z7,E1,47.4901,14.1276,-12.7481,133.5319,0.13
N1,E2,54.9682,27.7502,38.9603,-67.7183,0.12
N2,E2,54.9682,27.7502,33.6701,-79.1441,0.99
N3,E2,54.9682,27.7502,21.3022,-90.1044,0.53
N4,E2,54.9682,27.7502,31.8968,-103.4019,0.78
N5,E2,54.9682,27.7502,53.2547,-124.4917,0.94
N6,E2,54.9682,27.7502,54.6989,-129.2372,0.34
N7,E2,54.9682,27.7502,62.1652,-153.9344,0.63
N8,E2,54.9682,27.7502,24.2271,-157.2241,0.2
N9,E2,54.9682,27.7502,22.5729,-105.1789,0.45
N10,E2,54.9682,27.7502,59.0741,136.9953,0.32
S1,E2,54.9682,27.7502,8.9915,-67.2331,0.21
S2,E2,54.9682,27.7502,-5.1621,-42.1811,0.9
S3,E2,54.9682,27.7502,-21.3756,-49.9622,0.61
S4,E2,54.9682,27.7502,-43.7592,-65.5599,0.38
S5,E2,54.9682,27.7502,-35.8045,-71.5364,0.49
S6,E2,54.9682,27.7502,-6.9267,-75.2371,0.9
S7,E2,54.9682,27.7502,7.6532,-76.2382,0.33
S8,E2,54.9682,27.7502,-32.5658,-52.7961,0.28
E1,E2,54.9682,27.7502,47.4901,14.1276,0.62
E3,E2,54.9682,27.7502,58.8052,15.9729,0.99
E4,E2,54.9682,27.7502,50.0536,2.4377,0.79
E5,E2,54.9682,27.7502,39.2195,-3.3631,0.08
E6,E2,54.9682,27.7502,35.9945,9.5282,0.49
E7,E2,54.9682,27.7502,44.9363,26.0808,0.51
E8,E2,54.9682,27.7502,69.8863,-27.0051,0.46
E9,E2,54.9682,27.7502,66.0731,-40.7161,0.32
E10,E2,54.9682,27.7502,69.7711,22.6141,0.04
E11,E2,54.9682,27.7502,64.3111,-17.1125,0.87
M1,E2,54.9682,27.7502,29.9007,25.0417,0.37
M2,E2,54.9682,27.7502,20.0666,35.6046,0.39
M3,E2,54.9682,27.7502,17.4034,45.7999,0.28
M4,E2,54.9682,27.7502,-2.0396,38.0496,0.69
M5,E2,54.9682,27.7502,-21.8787,33.8308,0.72
M6,E2,54.9682,27.7502,-32.6365,23.2839,0.06
M7,E2,54.9682,27.7502,2.0002,13.0886,0.25
M8,E2,54.9682,27.7502,10.2101,-7.1261,0.95
M9,E2,54.9682,27.7502,21.0261,-8.708,0.65
M10,E2,54.9682,27.7502,30.8108,-4.4894,0.48
M11,E2,54.9682,27.7502,-10.6827,14.1675,0.97
M12,E2,54.9682,27.7502,-11.5451,40.3679,0.58
M13,E2,54.9682,27.7502,9.7734,49.8601,0.33
K1,E2,54.9682,27.7502,23.8158,53.8859,0.61
K2,E2,54.9682,27.7502,-19.8441,46.3005,0.6
K3,E2,54.9682,27.7502,26.7254,36.3249,0.38
K4,E2,54.9682,27.7502,25.4625,63.0436,0.17
K5,E2,54.9682,27.7502,30.4292,48.9811,0.02
A1,E2,54.9682,27.7502,44.7861,142.4796,0.79
A2,E2,54.9682,27.7502,41.8452,129.8234,0.42
A3,E2,54.9682,27.7502,38.3505,117.5187,0.66
A4,E2,54.9682,27.7502,26.3621,103.8708,0.72
A5,E2,54.9682,27.7502,20.2081,103.6321,0.08
A6,E2,54.9682,27.7502,12.3081,80.0773,0.46
A7,E2,54.9682,27.7502,19.2389,73.3796,0.51
A8,E2,54.9682,27.7502,50.8332,140.3611,0.3
A9,E2,54.9682,27.7502,16.4459,95.0096,0.67
A10,E2,54.9682,27.7502,21.7588,88.1451,0.78
A11,E2,54.9682,27.7502,15.2623,120.4979,0.64
A12,E2,54.9682,27.7502,6.8166,125.2493,0.6
A13,E2,54.9682,27.7502,-4.4128,144.0525,0.61
A14,E2,54.9682,27.7502,31.1841,130.6932,0.95
Z1,E2,54.9682,27.7502,-21.5409,147.7123,0.29
Z2,E2,54.9682,27.7502,-29.5135,152.1351,0.13
Z3,E2,54.9682,27.7502,-37.0957,142.2138,0.99
Z4,E2,54.9682,27.7502,-45.0244,168.6218,0.63
Z5,E2,54.9682,27.7502,-31.9787,117.1119,0.95
Z6,E2,54.9682,27.7502,-22.1268,115.4265,0
Z7,E2,54.9682,27.7502,-12.7481,133.5319,0.54
N1,E3,58.8052,15.9729,38.9603,-67.7183,0.82
N2,E3,58.8052,15.9729,33.6701,-79.1441,0.41
N3,E3,58.8052,15.9729,21.3022,-90.1044,0.67
N4,E3,58.8052,15.9729,31.8968,-103.4019,0.39
N5,E3,58.8052,15.9729,53.2547,-124.4917,0.74
N6,E3,58.8052,15.9729,54.6989,-129.2372,0.43
N7,E3,58.8052,15.9729,62.1652,-153.9344,0.84
N8,E3,58.8052,15.9729,24.2271,-157.2241,0.59
N9,E3,58.8052,15.9729,22.5729,-105.1789,0.85
N10,E3,58.8052,15.9729,59.0741,136.9953,0.88
S1,E3,58.8052,15.9729,8.9915,-67.2331,1
S2,E3,58.8052,15.9729,-5.1621,-42.1811,0.22
S3,E3,58.8052,15.9729,-21.3756,-49.9622,0.24
S4,E3,58.8052,15.9729,-43.7592,-65.5599,0.67
S5,E3,58.8052,15.9729,-35.8045,-71.5364,0.38
S6,E3,58.8052,15.9729,-6.9267,-75.2371,0.15
S7,E3,58.8052,15.9729,7.6532,-76.2382,0.87
S8,E3,58.8052,15.9729,-32.5658,-52.7961,0.65
E1,E3,58.8052,15.9729,47.4901,14.1276,0.77
E2,E3,58.8052,15.9729,54.9682,27.7502,0.6
E4,E3,58.8052,15.9729,50.0536,2.4377,0.99
E5,E3,58.8052,15.9729,39.2195,-3.3631,0.13
E6,E3,58.8052,15.9729,35.9945,9.5282,0.59
E7,E3,58.8052,15.9729,44.9363,26.0808,0.85
E8,E3,58.8052,15.9729,69.8863,-27.0051,0.74
E9,E3,58.8052,15.9729,66.0731,-40.7161,0.14
E10,E3,58.8052,15.9729,69.7711,22.6141,0.98
E11,E3,58.8052,15.9729,64.3111,-17.1125,0.73
M1,E3,58.8052,15.9729,29.9007,25.0417,0.27
M2,E3,58.8052,15.9729,20.0666,35.6046,0.61
M3,E3,58.8052,15.9729,17.4034,45.7999,0.58
M4,E3,58.8052,15.9729,-2.0396,38.0496,0.41
M5,E3,58.8052,15.9729,-21.8787,33.8308,0.41
M6,E3,58.8052,15.9729,-32.6365,23.2839,0.39
M7,E3,58.8052,15.9729,2.0002,13.0886,0.38
M8,E3,58.8052,15.9729,10.2101,-7.1261,0.57
M9,E3,58.8052,15.9729,21.0261,-8.708,0.32
M10,E3,58.8052,15.9729,30.8108,-4.4894,0.43
M11,E3,58.8052,15.9729,-10.6827,14.1675,0.49
M12,E3,58.8052,15.9729,-11.5451,40.3679,0.26
M13,E3,58.8052,15.9729,9.7734,49.8601,0.73
K1,E3,58.8052,15.9729,23.8158,53.8859,0.53
K2,E3,58.8052,15.9729,-19.8441,46.3005,0.5
K3,E3,58.8052,15.9729,26.7254,36.3249,0.54
K4,E3,58.8052,15.9729,25.4625,63.0436,0.16
K5,E3,58.8052,15.9729,30.4292,48.9811,0.06
A1,E3,58.8052,15.9729,44.7861,142.4796,0.81
A2,E3,58.8052,15.9729,41.8452,129.8234,0.75
A3,E3,58.8052,15.9729,38.3505,117.5187,0.49
A4,E3,58.8052,15.9729,26.3621,103.8708,0.53
A5,E3,58.8052,15.9729,20.2081,103.6321,0.2
A6,E3,58.8052,15.9729,12.3081,80.0773,0.08
A7,E3,58.8052,15.9729,19.2389,73.3796,0.67
A8,E3,58.8052,15.9729,50.8332,140.3611,0.44
A9,E3,58.8052,15.9729,16.4459,95.0096,0.54
A10,E3,58.8052,15.9729,21.7588,88.1451,0.11
A11,E3,58.8052,15.9729,15.2623,120.4979,0.06
A12,E3,58.8052,15.9729,6.8166,125.2493,0.17
A13,E3,58.8052,15.9729,-4.4128,144.0525,0.91
A14,E3,58.8052,15.9729,31.1841,130.6932,0.65
Z1,E3,58.8052,15.9729,-21.5409,147.7123,0.87
Z2,E3,58.8052,15.9729,-29.5135,152.1351,0.68
Z3,E3,58.8052,15.9729,-37.0957,142.2138,0.52
Z4,E3,58.8052,15.9729,-45.0244,168.6218,0.62
Z5,E3,58.8052,15.9729,-31.9787,117.1119,0.79
Z6,E3,58.8052,15.9729,-22.1268,115.4265,0.64
Z7,E3,58.8052,15.9729,-12.7481,133.5319,0.85
N1,E4,50.0536,2.4377,38.9603,-67.7183,0.78
N2,E4,50.0536,2.4377,33.6701,-79.1441,0.74
N3,E4,50.0536,2.4377,21.3022,-90.1044,0.45
N4,E4,50.0536,2.4377,31.8968,-103.4019,0.36
N5,E4,50.0536,2.4377,53.2547,-124.4917,0.07
N6,E4,50.0536,2.4377,54.6989,-129.2372,0.42
N7,E4,50.0536,2.4377,62.1652,-153.9344,0.98
N8,E4,50.0536,2.4377,24.2271,-157.2241,0.24
N9,E4,50.0536,2.4377,22.5729,-105.1789,0.83
N10,E4,50.0536,2.4377,59.0741,136.9953,0.75
S1,E4,50.0536,2.4377,8.9915,-67.2331,0.6
S2,E4,50.0536,2.4377,-5.1621,-42.1811,0.72
S3,E4,50.0536,2.4377,-21.3756,-49.9622,0.17
S4,E4,50.0536,2.4377,-43.7592,-65.5599,0.16
S5,E4,50.0536,2.4377,-35.8045,-71.5364,0.71
S6,E4,50.0536,2.4377,-6.9267,-75.2371,0.62
S7,E4,50.0536,2.4377,7.6532,-76.2382,0.24
S8,E4,50.0536,2.4377,-32.5658,-52.7961,0.72
E1,E4,50.0536,2.4377,47.4901,14.1276,0.61
E2,E4,50.0536,2.4377,54.9682,27.7502,0.45
E3,E4,50.0536,2.4377,58.8052,15.9729,0.5
E5,E4,50.0536,2.4377,39.2195,-3.3631,0.05
E6,E4,50.0536,2.4377,35.9945,9.5282,1
E7,E4,50.0536,2.4377,44.9363,26.0808,0.53
E8,E4,50.0536,2.4377,69.8863,-27.0051,0.98
E9,E4,50.0536,2.4377,66.0731,-40.7161,0.41
E10,E4,50.0536,2.4377,69.7711,22.6141,0.61
E11,E4,50.0536,2.4377,64.3111,-17.1125,0.16
M1,E4,50.0536,2.4377,29.9007,25.0417,0.85
M2,E4,50.0536,2.4377,20.0666,35.6046,0.49
M3,E4,50.0536,2.4377,17.4034,45.7999,0.84
M4,E4,50.0536,2.4377,-2.0396,38.0496,0.17
M5,E4,50.0536,2.4377,-21.8787,33.8308,0.19
M6,E4,50.0536,2.4377,-32.6365,23.2839,0.2
M7,E4,50.0536,2.4377,2.0002,13.0886,0.09
M8,E4,50.0536,2.4377,10.2101,-7.1261,0.94
M9,E4,50.0536,2.4377,21.0261,-8.708,0.95
M10,E4,50.0536,2.4377,30.8108,-4.4894,0.24
M11,E4,50.0536,2.4377,-10.6827,14.1675,0.94
M12,E4,50.0536,2.4377,-11.5451,40.3679,0.49
M13,E4,50.0536,2.4377,9.7734,49.8601,0.82
K1,E4,50.0536,2.4377,23.8158,53.8859,0.1
K2,E4,50.0536,2.4377,-19.8441,46.3005,0.57
K3,E4,50.0536,2.4377,26.7254,36.3249,0.39
K4,E4,50.0536,2.4377,25.4625,63.0436,0.43
K5,E4,50.0536,2.4377,30.4292,48.9811,0.06
A1,E4,50.0536,2.4377,44.7861,142.4796,0.33
A2,E4,50.0536,2.4377,41.8452,129.8234,0.67
A3,E4,50.0536,2.4377,38.3505,117.5187,0.99
A4,E4,50.0536,2.4377,26.3621,103.8708,0.19
A5,E4,50.0536,2.4377,20.2081,103.6321,0.81
A6,E4,50.0536,2.4377,12.3081,80.0773,0.3
A7,E4,50.0536,2.4377,19.2389,73.3796,0.53
A8,E4,50.0536,2.4377,50.8332,140.3611,0.87
A9,E4,50.0536,2.4377,16.4459,95.0096,0.6
A10,E4,50.0536,2.4377,21.7588,88.1451,0.2
A11,E4,50.0536,2.4377,15.2623,120.4979,0.63
A12,E4,50.0536,2.4377,6.8166,125.2493,0.85
A13,E4,50.0536,2.4377,-4.4128,144.0525,0.6
A14,E4,50.0536,2.4377,31.1841,130.6932,0.23
Z1,E4,50.0536,2.4377,-21.5409,147.7123,0.52
Z2,E4,50.0536,2.4377,-29.5135,152.1351,0.4
Z3,E4,50.0536,2.4377,-37.0957,142.2138,0.74
Z4,E4,50.0536,2.4377,-45.0244,168.6218,0.13
Z5,E4,50.0536,2.4377,-31.9787,117.1119,0.81
Z6,E4,50.0536,2.4377,-22.1268,115.4265,0.01
Z7,E4,50.0536,2.4377,-12.7481,133.5319,1
